Size	Hand-Optimized	ARMPL	FFTW	FFTIR
25	5.0629	3.1086	3.9471	4.55661
49	4.9258	3.2692	4.2613	4.44753
81	5.4131	3.9943	4.7098	4.85991
225	5.1544	4.3063	4.6929	4.64094
343	4.8497	3.744	4.0644	4.36509
441	5.0161	4.7492	4.2369	4.51422
567	5.1885	4.1726	4.4005	4.66875
729	5.3164	4.3295	4.4586	4.78908
875	4.8022	3.6905	3.8922	4.32405
1125	4.9309	4.7635	4.441	4.47102
2835	4.8293	4.7177	4.0336	4.30173
3969	4.8044	4.5483	4.0125	4.3281
5625	4.5328	3.8565	4.0222	4.11966
15435	4.3562	3.571	3.6083	3.98295
19845	3.6486	3.4848	3.5573	3.27636
27783	3.6058	3.403	3.1524	3.5093
35721	3.6126	3.4138	3.1652	3.430165
42875	3.5525	3.4138	3.0846	3.306285
55125	3.3051	3.3829	3.3487	3.3685
77175	3.2384	3.5535	3.4537	3.3505
