Size	Hand-Optimized	ARMPL	FFTW	FFTIR
16	9.0414	6.0937	6.4812	8.09325
32	8.3853	5.5302	6.9627	7.54614
64	7.8722	5.176	6.5038	7.14078
128	7.8152	5.6913	6.1655	7.00461
256	7.4925	5.75	6.2695	6.74442
512	7.5317	5.5957	6.0175	6.619976
1024	7.3807	5.1674	5.7249	6.65055
2048	6.7785	5.3066	5.6194	6.24303
4096	6.4475	5.2172	5.2688	5.68242
8192	5.4666	3.8746	4.724	5.0346
16384	4.2819	3.7013	4.2862	3.87045
32768	4.2322	3.2856	3.8464	3.619045
65536	4.1905	2.7729	3.5932	3.59516
131072	3.8296	2.4509	3.0326	3.181764
