Size	Hand-Optimized	ARMPL	FFTW	FFTIR
25	7.5642	3.396	3.9396	6.785125
49	9.0523	4.2929	5.0199	7.6925
81	8.8286	5.1862	5.357	8.31478
225	9.6849	7.1186	6.0555	9.193245
343	9.5254	5.2208	4.6928	9.33622
441	9.9542	7.4161	4.8296	9.54085
567	9.7297	5.8484	4.9432	9.23476
729	9.6062	6.0141	5.0704	9.116675
875	9.428	7.0939	4.9622	8.862645
1125	9.5661	7.4853	5.2535	8.59536
2835	9.3674	7.6831	4.9001	8.63118
3969	9.3471	7.7808	4.7518	8.336416
5625	8.8684	6.6554	4.9594	8.706526
15435	9.0064	6.4445	4.4418	8.456862
19845	7.1286	5.6304	4.5911	6.48736
27783	7.1533	6.0123	4.357	6.907482
35721	6.7899	6.1813	4.4022	6.613788
42875	6.4587	5.2129	4.2637	5.771216
55125	6.3474	6.3358	4.215	5.888552
77175	6.4141	6.2709	4.1638	5.683392
