Size	Hand-Optimized	ARMPL	FFTW	FFTIR
16	11.017	5.3808	6.2541	11.015
32	11.113	5.6351	11.035	11.086
64	15.121	6.1651	12.875	14.06625
128	16.899	7.775	13.194	15.3063
256	17.653	9.9698	13.38	15.9651
512	17.473	10.844	14.79	16.1368
1024	16.395	10.856	15.445	15.959
2048	16.556	8.6692	15.134	15.41736
4096	15.984	8.8612	13.415	14.59568
8192	14.363	7.0901	12.007	12.54528
16384	11.576	5.9694	10.374	8.989566
32768	8.6015	5.1552	8.0548	8.078152
65536	8.5372	5.7808	7.4932	7.477911
131072	8.5397	3.979	6.5143	6.8972
