Size	Hand-Optimized	ARMPL	FFTW	FFTIR
25	5.1744	2.4463	3.999	4.146
49	5.5152	3.6698	3.7191	4.38776
81	5.5247	4.3006	3.9173	4.93758
225	5.5979	4.5707	4.8369	4.97358
343	5.5536	3.7298	3.4581	5.02083
441	5.6854	4.6654	3.6037	5.09166
567	5.5525	4.1723	3.7493	5.00715
729	5.6017	4.3627	3.744	5.05152
875	5.4238	3.985	3.9026	4.596035
1125	5.6147	4.575	4.5611	4.77802
2835	5.4132	4.5096	3.759	4.608955
3969	5.4216	4.0649	3.4018	4.63114
5625	5.1955	4.1171	4.0283	4.58014
15435	4.4355	3.1858	2.9066	4.049315
19845	4.0165	3.2444	2.9401	3.814205
27783	3.7192	3.4881	2.4879	3.526905
35721	3.6093	3.3955	2.7868	3.380705
42875	3.3903	2.6713	2.4901	3.01478
55125	3.2274	2.8821	2.4346	2.93063
77175	3.0343	2.7823	2.2774	2.86076
