Size	Hand-Optimized	ARMPL	FFTW	FFTIR
16	9.7941	3.4567	7.3103	7.83528
32	9.841	3.2349	7.6061	8.1144
64	8.23	5.2508	6.9358	7.27893
128	8.67	6.2114	6.3059	6.80896
256	9.0565	6.585	6.4001	7.20864
512	7.8913	5.9167	6.5214	6.31408
1024	8.0493	5.5915	6.1385	6.212206
2048	8.1	5.8055	5.6674	6.371211
4096	7.666	5.3888	5.2207	6.235614
8192	5.8736	3.719	4.6083	5.432273
16384	5.2324	3.007	3.8634	4.718098
32768	4.8185	2.7207	3.3901	4.35456
65536	4.1958	1.8939	3.1925	3.81888
131072	3.3052	1.6137	2.7308	2.76392
