Size	Hand-Optimized	ARMPL	FFTW	FFTIR
25	8.86	3.0861	3.7525	7.35369
49	10.026	6.8405	3.8193	8.925
81	11.749	8.2738	4.3034	10.2153
225	13.277	12.473	5.1662	10.9616
343	14.688	11.616	3.659	11.7402
441	13.933	12.692	3.9157	11.61355
567	13.816	12.101	4.0104	11.9425
729	14.61	11.157	4.1113	12.2587
875	13.604	10.808	4.4496	11.339
1125	14.411	10.968	4.7211	12.3012
2835	13.942	12.657	4.1934	12.40915
3969	13.521	11.879	3.8556	11.57445
5625	13.298	11.766	4.3942	11.4512
15435	11.042	7.3169	3.8477	10.3928
19845	10.695	7.5798	3.967	9.3336
27783	9.2074	7.986	3.5425	8.6104
35721	8.6377	8.0688	3.5608	7.86552
42875	8.1754	5.8518	3.5932	7.07216
55125	8.4127	6.7611	3.6619	7.04008
77175	7.7441	6.507	3.6047	6.63184
