Size	Hand-Optimized	ARMPL	FFTW	FFTIR
16	9.7975	4.4304	4.9914	7.82608
32	9.886	3.6896	9.5178	8.128
64	19.754	10.685	11.747	16.1968
128	24.343	14.574	13.114	21.45176
256	26.429	14.407	14.36	22.89672
512	24.729	15.91	14.559	23.16688
1024	24.385	14.254	14.638	21.4764
2048	24.507	10.487	14.253	22.48488
4096	23.111	13.947	12.278	21.2476
8192	20.875	10.715	10.984	17.04375
16384	14.692	7.2494	8.8771	12.61575
32768	12.82	5.2206	6.7784	10.356
65536	10.104	5.6569	5.6542	7.5243
131072	9.4682	3.2392	5.1004	6.92069
